1/21 11:52:20.897  SPELL_DAMAGE,0xF140C79CA3000002,"GUGU",0x1148,0x0300000005D70675,"Billionaire",0x10511,49966,"Smack",0x1,531,-1,1,0,0,0,nil,nil,nil
1/21 11:52:21.259  SPELL_AURA_REMOVED,0xF140C79CA3000002,"GUGU",0x1148,0x0300000005D70675,"Billionaire",0x10511,56626,"Sting",0x8,DEBUFF
1/21 11:52:21.259  SPELL_AURA_APPLIED,0x0300000005D70675,"Billionaire",0x10511,0x0300000005D70675,"Billionaire",0x10511,1044,"Hand of Freedom",0x2,BUFF
1/21 11:52:21.259  SPELL_CAST_SUCCESS,0x0300000005D70675,"Billionaire",0x10511,0x0300000005D70675,"Billionaire",0x10511,1044,"Hand of Freedom",0x2
1/21 11:52:21.259  SPELL_AURA_APPLIED_DOSE,0xF140C79CA3000002,"GUGU",0x1148,0xF140C79CA3000002,"GUGU",0x1148,19615,"Frenzy Effect",0x1,BUFF,2
1/21 11:52:21.277  SPELL_CAST_FAILED,0x0300000005D70675,"Billionaire",0x10511,0x0000000000000000,nil,0x80000000,1044,"Hand of Freedom",0x2,"Not yet recovered"
1/21 11:52:21.382  SPELL_AURA_REMOVED,0x0300000005D9C981,"Guccimaim",0x512,0x0300000005D70675,"Billionaire",0x10511,79061,"Mark of the Wild",0x8,BUFF
1/21 11:52:21.382  SPELL_DISPEL,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D70675,"Billionaire",0x10511,19801,"Tranquilizing Shot",0x8,79061,"Mark of the Wild",8,BUFF
1/21 11:52:21.869  SWING_DAMAGE,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D9C981,"Guccimaim",0x512,680,-1,1,0,0,0,nil,nil,nil
1/21 11:52:21.869  SPELL_PERIODIC_ENERGIZE,0xF140C79CA3000002,"GUGU",0x1148,0xF140C79CA3000002,"GUGU",0x1148,54131,"Bloodthirsty",0x1,0,4
1/21 11:52:21.869  SPELL_PERIODIC_HEAL,0xF140C79CA3000002,"GUGU",0x1148,0xF140C79CA3000002,"GUGU",0x1148,54131,"Bloodthirsty",0x1,881,881,0,nil
1/21 11:52:21.869  SPELL_AURA_REMOVED,0x0300000005D9C981,"Guccimaim",0x512,0x0300000005D9C981,"Guccimaim",0x512,5215,"Prowl",0x1,BUFF
1/21 11:52:21.883  SPELL_CAST_FAILED,0x0300000005D70675,"Billionaire",0x10511,0x0000000000000000,nil,0x80000000,4987,"Cleanse",0x2,"Not yet recovered"
1/21 11:52:21.992  SWING_DAMAGE,0xF140C79CA3000002,"GUGU",0x1148,0x0300000005D70675,"Billionaire",0x10511,347,-1,1,0,0,0,nil,nil,nil
1/21 11:52:22.097  SPELL_CAST_SUCCESS,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D9C981,"Guccimaim",0x512,19503,"Scatter Shot",0x1
1/21 11:52:22.172  SPELL_AURA_APPLIED,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D9C981,"Guccimaim",0x512,19503,"Scatter Shot",0x1,DEBUFF
1/21 11:52:22.172  SPELL_DAMAGE,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D9C981,"Guccimaim",0x512,19503,"Scatter Shot",0x1,1302,-1,1,0,0,0,nil,nil,nil
1/21 11:52:22.634  SPELL_CAST_SUCCESS,0x0300000005D70675,"Billionaire",0x10511,0x0300000005D70675,"Billionaire",0x10511,4987,"Cleanse",0x2
1/21 11:52:22.634  SPELL_PERIODIC_ENERGIZE,0xF140C79CA3000002,"GUGU",0x1148,0xF140C79CA3000002,"GUGU",0x1148,54131,"Bloodthirsty",0x1,0,4
1/21 11:52:22.634  SPELL_PERIODIC_HEAL,0xF140C79CA3000002,"GUGU",0x1148,0xF140C79CA3000002,"GUGU",0x1148,54131,"Bloodthirsty",0x1,881,881,0,nil
1/21 11:52:22.730  SPELL_CAST_FAILED,0x0300000005D70675,"Billionaire",0x10511,0x0000000000000000,nil,0x80000000,4987,"Cleanse",0x2,"Not yet recovered"
1/21 11:52:23.585  SWING_DAMAGE,0xF140C79CA3000002,"GUGU",0x1148,0x0300000005D70675,"Billionaire",0x10511,716,-1,1,0,0,0,1,nil,nil
1/21 11:52:23.815  SPELL_PERIODIC_ENERGIZE,0xF140C79CA3000002,"GUGU",0x1148,0xF140C79CA3000002,"GUGU",0x1148,54131,"Bloodthirsty",0x1,0,4
1/21 11:52:23.815  SPELL_PERIODIC_HEAL,0xF140C79CA3000002,"GUGU",0x1148,0xF140C79CA3000002,"GUGU",0x1148,54131,"Bloodthirsty",0x1,881,881,0,nil
1/21 11:52:24.214  SPELL_CAST_SUCCESS,0xF140C79CA3000002,"GUGU",0x11148,0x0300000005D70675,"Billionaire",0x511,49966,"Smack",0x1
1/21 11:52:24.216  SPELL_CAST_SUCCESS,0x0300000005D70675,"Billionaire",0x511,0x0300000005D70675,"Billionaire",0x511,4987,"Cleanse",0x2
1/21 11:52:24.216  SPELL_AURA_APPLIED,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,53403,"Rabid Power",0x1,BUFF
1/21 11:52:24.216  SPELL_DAMAGE,0xF140C79CA3000002,"GUGU",0x11148,0x0300000005D70675,"Billionaire",0x511,49966,"Smack",0x1,518,-1,1,0,0,0,nil,nil,nil
1/21 11:52:24.510  SWING_DAMAGE,0x0300000005D70675,"Billionaire",0x511,0xF140C79CA3000002,"GUGU",0x11148,151,-1,1,0,0,0,nil,nil,nil
1/21 11:52:24.510  SPELL_AURA_REFRESH,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,54131,"Bloodthirsty",0x1,BUFF
1/21 11:52:24.510  SPELL_AURA_APPLIED_DOSE,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,19615,"Frenzy Effect",0x1,BUFF,3
1/21 11:52:24.621  SPELL_PERIODIC_ENERGIZE,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,54131,"Bloodthirsty",0x1,0,4
